feature,importance_mean,importance_std
movie_age,0.6053118344502603,0.0241979476787906
vote_count,0.5027593566639947,0.03047533253335859
actor_popularity_max,0.045909574631831894,0.0050282766552810975
actor_popularity_mean,0.040370906992051814,0.007336491019066657
genre_Action,0.035267952493729146,0.003484741190394587
genre_Romance,0.031327099895757896,0.005017907612751353
director_popularity,0.026502687486539646,0.005567230191554151
primary_genre_encoded,0.023675356308560658,0.00530733851002552
duration_minutes,0.016046040744384184,0.004152734741226583
genre_Comedy,0.012512967775487471,0.002871747731517168
genre_Horror,0.011398931204661423,0.003983914062512553
actor_1_encoded,0.008988051251752161,0.0020123091351336077
title_length,0.007757663961992766,0.00434408208811364
num_genres,0.007528889451375642,0.0019758584865438213
release_decade,0.007128624744470846,0.0023104086243214057
genre_Crime,0.006827971966166457,0.001757780984645107
actor_2_encoded,0.006702779240322909,0.0023739587069175803
genre_Musical,0.006475168211544457,0.0022629043328890692
genre_Thriller,0.006146826715313169,0.0024385923843243795
title_words,0.005892063838959083,0.002977938198641856
genre_Drama,0.0057194806694788715,0.00343049799321939
cast_size,0.004619843287483771,0.0016289278875701657
genre_Adventure,0.0036823836046586678,0.001638703767095816
actor_3_encoded,0.0035056681690100013,0.002043506460201352
genre_Fantasy,0.002569607292244658,0.0010398169175015002
director_encoded,0.0025118628301712964,0.001885984687702568
duration_missing,0.0020026543547305596,0.0008568318260703343
runtime_bucket_encoded,0.0017461560368574492,0.002038745941451436
genre_Family,0.0015733771047325873,0.002247461091972572
genre_Mystery,0.000682239342771751,0.0012492960247944627
vote_count_missing,0.0,0.0
year_missing,0.0,0.0
has_votes,0.0,0.0
